,Year,GDP,KR,HRsq,CPI
1,1950,,,,
3,1952,679.0,1.0,121.66089999999998,1.0266666666666666
6,1955,910.7844182365443,1.079,361.0,1.0032493907392364
9,1958,1308.2090596785342,1.774,653.8249000000001,0.9889415481832544
11,1960,1457.4730167300704,1.089,2147.3956000000003,1.0254777070063696
13,1962,1151.2390351797449,0.7170000000000001,778.9681,1.038101604278075
16,1965,1717.2037770499346,1.247,1369.0,0.9879175550817343
19,1968,1730.164346321726,0.96,756.25,1.000733137829912
21,1970,2261.324064732312,1.3419999999999999,759.5536,1.0
23,1972,2530.224149001092,1.0190000000000001,1718.1025000000002,1.0014524328249819
26,1975,3013.1108333419115,1.163,2828.1124,1.0043196544276458
29,1978,3645.2174740458895,1.172,5632.5025,1.0069589422407794
31,1980,4545.6239733557295,1.113,13030.222500000002,1.0753052917232022
33,1982,5323.350964674374,1.097,18936.512100000004,1.0203076923076924
36,1985,9016.036580612483,1.161,51451.848900000005,1.0932642487046633
39,1988,15042.823010095724,1.09,127206.35560000002,1.187557603686636
41,1990,18667.82237610586,1.036,213860.0025,1.031239723775074
43,1992,26923.4764511214,1.2409999999999999,290238.8158149489,1.0641579272054287
46,1995,60793.7292113314,1.138,1057592.1624490002,1.1710794297352343
49,1998,84402.279768922,1.1,2451077.496356228,0.9920337394564198
51,2000,99214.5543084772,1.097,4350057.72531264,1.0039923347173427
53,2002,120332.68927425226,1.153,9698480.376041189,0.9919444005686305
56,2005,184937.36896018017,1.1220279271650548,21768699.56849721,1.0180221111615932
59,2008,314045.42708655354,1.1314873786238566,93810076.19411284,1.059012725492938
61,2010,401202.0284084352,1.1233371953771139,157503002.0004,1.033
