district,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011
武汉市,,,,,,484,467,459,452,442
黄石市,,,,,,137,135,109,86,90
襄阳市,,,,,,153,150,138,136,133
荆州市,,,,,,266,258,237,216,208
宜昌市,,,,,,383,366,343,323,307
十堰市,,,,,,138,125,107,99,88
孝感市,,,,,,113,110,105,106,105
荆门市,,,,,,215,208,201,199,184
鄂州市,,,,,,57,54,50,47,45
黄冈市,,,,,,191,189,182,180,178
咸宁市,,,,,,95,92,73,64,51
随州市,,,,,,141,134,130,127,125
恩施州,,,,,,248,205,179,161,138
仙桃市,,,,,,28,25,23,23,23
潜江市,,,,,,26,22,23,22,22
天门市,,,,,,32,29,23,22,16
林  区,,,,,,10,8,8,8,9
高速公路,,,,,,167,150,143,164,230
