district,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011
武汉市,,,,,,3141.9,3960.08,4620.18,5565.93,6756.2
黄石市,,,,,,466.68,556.57,571.59,690.12,925.96
襄阳市,,,,,,785.45,1002.46,1201.01,1538.3,2132.22
荆州市,,,,,,519.63,623.98,709.58,837.1,1043.12
宜昌市,,,,,,820.9,1026.56,1272.33,1547.32,2140.69
十堰市,,,,,,411.42,487.64,550.96,736.78,851.25
孝感市,,,,,,480.79,593.06,672.88,800.67,958.16
荆门市,,,,,,420.08,520.36,600.1,730.07,942.59
鄂州市,,,,,,280.71,269.79,323.71,395.29,490.89
黄冈市,,,,,,473.74,600.75,730.19,862.3,1045.11
咸宁市,,,,,,286.75,359.19,418.45,520.33,652.1
随州市,,,,,,257.62,310.2,341.91,401.66,517.99
恩施州,,,,,,210.35,249.18,294.26,351.13,418.19
仙桃市,,,,,,190.4,233.5,242.55,290.97,378.45
潜江市,,,,,,156.63,211.82,234.01,290.67,378.21
天门市,,,,,,151.48,187.35,186.86,219.48,274.52
林  区,,,,,,6.96,7.97,10.29,12.3,14.530103
高速公路,,,,,,,,,,
