district,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011
武汉市,,,26,23,28,30,31,31,31,32
黄石市,,,13,5,3,4,9,6,9,7
襄阳市,,,8,7,19,8,10,15,10,11
荆州市,,,0,7,3,11,4,5,5,2
宜昌市,,,12,30,34,28,22,14,17,10
十堰市,,,6,12,21,15,21,18,19,21
孝感市,,,1,0,4,3,3,3,4,4
荆门市,,,3,3,5,6,3,2,2,0
鄂州市,,,2,2,1,3,3,6,2,3
黄冈市,,,2,0,4,2,2,3,2,3
咸宁市,,,1,0,1,4,4,7,10,5
随州市,,,2,2,9,6,7,6,6,5
恩施州,,,31,44,37,67,31,31,17,12
仙桃市,,,0,5,4,2,3,4,2,2
潜江市,,,0,1,1,1,4,0,1,1
天门市,,,1,2,0,0,1,0,0,0
林  区,,,1,0,5,2,0,1,5,0
高速公路,,,,,,,,,,
