district,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011
武汉市,,,,,,8948.191,10304.372,10999.305,12047.277,
黄石市,,,,,,4490.247,4520.409,4709.745,4917.107,
襄阳市,,,,,,24581.726,24599.12,25182.215,25363.63,
荆州市,,,,,,16943.724,17161.86,17929.935,18690.506,
宜昌市,,,,,,24677.908,24862.056,25163.356,25638.016,
十堰市,,,,,,16728.148,17296.513,18800.155,19976.878,
孝感市,,,,,,10782.235,10901.879,11249.037,11840.616,
荆门市,,,,,,9409.515,9436.962,9556.829,10985.207,
鄂州市,,,,,,2725.723,2770.17,2862.233,2913.289,
黄冈市,,,,,,17132.903,17526.571,20179.653,21341.029,
咸宁市,,,,,,11815.095,12256.433,12605.965,13029.395,
随州市,,,,,,6205.971,6189.062,6313.177,6487.179,
恩施州,,,,,,17086.933,17803.438,17841.233,18296.161,
仙桃市,,,,,,3929.636,3929.407,3962.756,4011.804,
潜江市,,,,,,2167.692,2193.101,2326.567,2435.112,
天门市,,,,,,2795.319,2891.445,2984.154,3284.127
林  区,,,,,,1045.002,1063.578,1242.199,1258.267
高速公路,,,,,,2281.53,2624.239,3188.734,3578.959
