district,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011
武汉市,,,,,875,891,897,910,978.54,
黄石市,,,,,236,241.9,242.2,242.61,242.93,
襄阳市,,,,,543.6,542.5,543.7,544.61,550.03,
荆州市,,,,,586.1,584.1,584.4,585.4,569.17,
宜昌市,,,,,403.6,403,403.9,404.55,405.97,
十堰市,,,,,323.7,322.8,323.5,324.1,334.08,
孝感市,,,,,466.6,466.5,467.6,468.37,481.45,
荆门市,,,,,283.8,283.9,284.5,285.03,287.37,
鄂州市,,,,,102.9,103.1,103.3,103.49,104.87,
黄冈市,,,,,668.7,666.7,667.5,668.64,616.21,
咸宁市,,,,,251.5,250.6,251.2,251.63,246.26,
随州市,,,,,221.2,219.9,220.4,220.81,216.22,
恩施州,,,,,349,347.7,348.5,349.1,329.03,
仙桃市,,,,,137.4,136.4,135.3,123.3,117.51,
潜江市,,,,,94.2,93.9,93.6,93.76,94.63,
天门市,,,,,139.5,137.6,136.9,137.13,141.89
林  区,,,,,7.2,7.4,7.5,7.5,7.61
高速公路,,,,,,,,,
