district,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011
武汉市,0,0,0,0,0,0,0,0,0,0
黄石市,29,29,15,20,19,13,9,9,11,8
襄阳市,2,7,9,5,3,1,3,5,3,2
荆州市,15,4,4,0,1,3,0,1,0,0
宜昌市,36,39,41,31,29,37,40,24,30,27
十堰市,0,0,1,1,6,1,3,0,0,4
孝感市,0,0,0,0,0,0,0,0,0,0
荆门市,15,20,14,14,11,6,7,7,2,5
鄂州市,0,0,0,0,0,0,0,0,0,0
黄冈市,0,0,0,0,0,0,0,0,0,0
咸宁市,10,9,13,5,10,10,6,5,1,2
随州市,0,0,0,0,0,0,0,0,0,0
恩施州,47,42,42,52,42,30,33,18,39,23
仙桃市,0,0,0,0,0,0,0,0,0,0
潜江市,0,0,0,0,0,0,0,0,0,0
天门市,0,0,0,0,0,0,0,0,0,0
林  区,0,0,0,0,0,0,0,0,0,0
高速公路,,,,,,,,,,
