district,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011
武汉市,10,9,13,18,21,7,5,10,10,39
黄石市,2,3,2,6,3,4,6,0,1,0
襄阳市,1,9,0,2,3,2,1,1,0,0
荆州市,7,2,6,6,6,0,1,3,2,0
宜昌市,4,9,1,5,2,1,1,2,1,1
十堰市,3,1,4,2,2,1,1,1,1,0
孝感市,2,0,6,4,0,2,0,0,0,0
荆门市,1,2,2,2,2,5,0,0,0,0
鄂州市,2,1,0,4,3,5,3,7,0,0
黄冈市,4,2,2,1,4,1,4,1,0,0
咸宁市,0,3,3,1,3,1,1,1,1,0
随州市,0,0,0,1,1,1,0,0,0,0
恩施州,7,3,6,4,10,5,5,2,1,0
仙桃市,1,1,0,0,0,1,0,2,0,5
潜江市,2,0,0,0,1,3,0,1,0,0
天门市,1,2,1,0,2,3,1,0,0,1
林  区,0,0,0,0,0,0,0,0,0,0
高速公路,,,,,,,,,,
