district,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011
武汉市,,,30,30,31,32,43,38,39,39
黄石市,,,18,13,12,23,15,9,14,15
襄阳市,,,23,28,13,25,24,15,17,14
荆州市,,,13,8,12,5,11,9,12,15
宜昌市,,,31,27,16,20,17,20,16,21
十堰市,,,26,13,20,17,14,16,9,4
孝感市,,,9,7,6,5,8,11,8,10
荆门市,,,2,4,5,5,5,7,5,1
鄂州市,,,6,4,6,8,12,1,8,7
黄冈市,,,13,14,11,16,17,18,21,17
咸宁市,,,7,8,3,4,9,3,4,5
随州市,,,3,9,1,5,7,7,8,5
恩施州,,,16,8,3,8,11,11,7,4
仙桃市,,,3,2,3,4,3,1,3,2
潜江市,,,3,0,2,1,4,1,3,0
天门市,,,2,3,6,3,2,2,1,2
林  区,,,1,2,1,0,2,2,0,2
高速公路,,,,,,,,,,
