district,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011
武汉市,619,641,541,521,487,471,465,454,446,467
黄石市,179,197,191,169,139,136,113,86,93,87
襄阳市,212,222,182,155,153,151,142,137,130,116
荆州市,307,335,317,319,267,261,241,219,212,206
宜昌市,461,440,431,409,383,368,347,326,311,298
十堰市,152,153,149,125,140,125,111,99,89,80
孝感市,131,144,136,128,113,113,109,108,103,103
荆门市,275,266,239,234,215,212,203,200,185,176
鄂州市,69,66,61,60,58,55,53,45,45,44
黄冈市,204,215,203,200,193,190,185,181,178,175
咸宁市,168,131,127,108,97,95,75,64,51,51
随州市,97,87,67,158,143,137,132,128,125,119
恩施州,279,317,323,323,254,236,183,162,142,114
仙桃市,40,40,27,30,28,26,23,23,22,23
潜江市,42,29,30,23,26,22,30,21,21,19
天门市,34,39,37,37,33,29,28,24,14,15
林  区,18,13,24,6,9,7,8,8,8,8
高速公路,,186,162,111,220,153,157,190,256,272
