生源所在地,东乡族,京族,仡佬族,仫佬族,侗族,俄罗斯族,傈僳族,傣族,其他,哈尼族,哈萨克族,回族,土家族,土族,壮族,布依族,彝族,怒族,拉祜族,摩梭族,撒拉族,普米族,朝鲜族,柯尔克孜族,毛难族,水族,汉族,满族,珞巴族,瑶族,畲族,白族,纳西族,维吾尔族,羌族,苗族,蒙古族,藏族,达斡尔族,鄂温克族,锡伯族,门巴族,黎族,合计
上海市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024437927663734115,0.0,0.0,0.00024437927663734115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009652981427174976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012218963831867058,0.0,0.0,0.0,0.0,0.0,0.0,0.010263929618768328
云南省,0.0,0.0,0.0,0.0,0.0,0.0,0.00012218963831867058,0.00024437927663734115,0.00012218963831867058,0.0004887585532746823,0.0,0.0007331378299120235,0.0,0.0,0.00024437927663734115,0.0,0.0019550342130987292,0.00012218963831867058,0.00012218963831867058,0.00012218963831867058,0.0,0.00012218963831867058,0.0,0.0,0.0,0.00012218963831867058,0.01930596285434995,0.00012218963831867058,0.0,0.0,0.0,0.0009775171065493646,0.0007331378299120235,0.0,0.0,0.00012218963831867058,0.00012218963831867058,0.00012218963831867058,0.0,0.0,0.0,0.0,0.0,0.026026392961876834
内蒙古自治区,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012218963831867058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013929618768328446,0.0004887585532746823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052541544477028345,0.0,0.0004887585532746823,0.00012218963831867058,0.0,0.0,0.0,0.020405669599217986
北京市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015884652981427176,0.0,0.0,0.0006109481915933529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024437927663734115,0.0,0.0,0.0,0.0768572825024438,0.004643206256109482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009775171065493646,0.0,0.0,0.0,0.00024437927663734115,0.0,0.0,0.08516617790811339
吉林省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024437927663734115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003421309872922776,0.0,0.0,0.0,0.024682306940371455,0.003421309872922776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036656891495601173,0.0,0.0,0.0,0.0,0.0,0.0,0.03213587487781036
四川省,0.0,0.0,0.00012218963831867058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006109481915933529,0.0,0.0,0.0,0.0,0.0010997067448680353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04325513196480939,0.00024437927663734115,0.0,0.0,0.0,0.00012218963831867058,0.0,0.0,0.0009775171065493646,0.00024437927663734115,0.00012218963831867058,0.0006109481915933529,0.0,0.0,0.0,0.0,0.0,0.04740957966764418
天津市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036656891495601173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02541544477028348,0.00036656891495601173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012218963831867058,0.0,0.0,0.0,0.0,0.0,0.0,0.026270772238514175
宁夏回族自治区,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008064516129032258,0.00024437927663734115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008797653958944282,0.0007331378299120235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017839687194525906
安徽省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036656891495601173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03800097751710655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03836754643206256
山东省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024437927663734115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054007820136852396,0.00012218963831867058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05437438905180841
